year,percentage,gender,country_id,graduation_id
2004,4.8716,Male,118.0,GRD0480
2014,3.1307,Male,118.0,GRD0481
2000,25.1305,Male,182.0,GRD0482
2001,26.998,Male,182.0,GRD0483
2002,27.6372,Male,182.0,GRD0484
2003,28.0138,Male,182.0,GRD0485
2004,27.4494,Male,182.0,GRD0486
2005,27.3916,Male,182.0,GRD0487
2006,27.2344,Male,182.0,GRD0488
2007,26.5475,Male,182.0,GRD0489
2008,27.1305,Male,182.0,GRD0490
2009,28.6565,Male,182.0,GRD0491
2010,30.4488,Male,182.0,GRD0492
2011,35.2447,Male,182.0,GRD0493
2012,35.8785,Male,182.0,GRD0494
2013,20.2924,Male,182.0,GRD0495
2014,40.6455,Male,182.0,GRD0496
2015,39.7606,Male,182.0,GRD0497
2016,36.0926,Male,182.0,GRD0498
2017,36.4342,Male,182.0,GRD0499
2018,34.6809,Male,182.0,GRD0500
2020,35.6085,Male,182.0,GRD0501
2021,34.9875,Male,182.0,GRD0502
2022,32.2298,Male,182.0,GRD0503
2023,30.6882,Male,182.0,GRD0504
2000,6.5677,Male,153.0,GRD0505
2001,7.8355,Male,153.0,GRD0506
2002,21.0366,Male,153.0,GRD0507
2003,13.7411,Male,153.0,GRD0508
2004,12.4322,Male,153.0,GRD0509
2005,17.9763,Male,153.0,GRD0510
2006,16.8117,Male,153.0,GRD0511
2007,18.5005,Male,153.0,GRD0512
2008,15.7228,Male,153.0,GRD0513
2009,15.0703,Male,153.0,GRD0514
2010,15.168,Male,153.0,GRD0515
2011,16.1306,Male,153.0,GRD0516
2013,28.7134,Male,153.0,GRD0517
2014,29.4262,Male,153.0,GRD0518
2018,31.7572,Male,153.0,GRD0519
2019,30.4828,Male,153.0,GRD0520
2020,32.3711,Male,153.0,GRD0521
2021,36.6667,Male,153.0,GRD0522
2022,32.6045,Male,153.0,GRD0523
2023,29.4587,Male,153.0,GRD0524
2000,1.6634,Male,64.0,GRD0525
2001,2.4749,Male,64.0,GRD0526
2002,2.3664,Male,64.0,GRD0527
2003,3.5395,Male,64.0,GRD0528
2004,4.7038,Male,64.0,GRD0529
2005,3.5087,Male,64.0,GRD0530
2006,3.4131,Male,64.0,GRD0531
2007,3.8571,Male,64.0,GRD0532
2008,5.6014,Male,64.0,GRD0533
2010,7.1048,Male,64.0,GRD0534
2000,31.0047,Male,27.0,GRD0535
2001,35.0975,Male,27.0,GRD0536
2002,38.8604,Male,27.0,GRD0537
2003,39.7841,Male,27.0,GRD0538
2004,40.0959,Male,27.0,GRD0539
2006,38.7735,Male,27.0,GRD0540
2007,40.5049,Male,27.0,GRD0541
2009,29.8887,Male,27.0,GRD0542
2010,34.2755,Male,27.0,GRD0543
2011,37.0051,Male,27.0,GRD0544
2012,36.7901,Male,27.0,GRD0545
2013,38.7421,Male,27.0,GRD0546
2014,39.447,Male,27.0,GRD0547
2015,42.3288,Male,27.0,GRD0548
2016,43.2209,Male,27.0,GRD0549
2017,41.8195,Male,27.0,GRD0550
2018,45.458,Male,27.0,GRD0551
2019,47.7975,Male,27.0,GRD0552
2020,51.6973,Male,27.0,GRD0553
2021,49.658,Male,27.0,GRD0554
2022,46.2503,Male,27.0,GRD0555
2023,49.1668,Male,27.0,GRD0556
2000,31.1139,Male,179.0,GRD0557
2002,31.5751,Male,179.0,GRD0558
2003,33.6042,Male,179.0,GRD0559
2004,29.8012,Male,179.0,GRD0560
2005,32.9107,Male,179.0,GRD0561
2006,31.8763,Male,179.0,GRD0562
2007,31.493,Male,179.0,GRD0563
2008,31.5071,Male,179.0,GRD0564
2009,32.2705,Male,179.0,GRD0565
2012,34.3241,Male,179.0,GRD0566
2013,35.028,Male,179.0,GRD0567
2014,35.3938,Male,179.0,GRD0568
2015,38.7884,Male,179.0,GRD0569
2016,40.5063,Male,179.0,GRD0570
2018,39.4772,Male,179.0,GRD0571
2019,40.9239,Male,179.0,GRD0572
2020,43.4247,Male,179.0,GRD0573
2021,45.0863,Male,179.0,GRD0574
2022,42.4572,Male,179.0,GRD0575
2023,45.7694,Male,179.0,GRD0576
2000,33.6272,Male,189.0,GRD0577
2001,33.3355,Male,189.0,GRD0578
2002,33.8728,Male,189.0,GRD0579
2003,34.4421,Male,189.0,GRD0580
2004,34.4916,Male,189.0,GRD0581
2005,34.5282,Male,189.0,GRD0582
2006,34.0935,Male,189.0,GRD0583
2007,33.8445,Male,189.0,GRD0584
2008,35.5484,Male,189.0,GRD0585
2009,35.5536,Male,189.0,GRD0586
2010,36.5421,Male,189.0,GRD0587
2011,37.2544,Male,189.0,GRD0588
2012,38.1497,Male,189.0,GRD0589
2013,40.0591,Male,189.0,GRD0590
2014,45.5281,Male,189.0,GRD0591
2019,42.7271,Male,189.0,GRD0592
2020,42.8405,Male,189.0,GRD0593
2021,45.7949,Male,189.0,GRD0594
2023,45.5064,Male,189.0,GRD0595
2008,53.9699,Male,163.0,GRD0596
2009,40.9277,Male,163.0,GRD0597
2010,17.5147,Male,163.0,GRD0598
2011,29.4198,Male,163.0,GRD0599
2012,17.3306,Male,163.0,GRD0600
2014,19.0998,Male,163.0,GRD0601
2016,23.9783,Male,163.0,GRD0602
2017,25.0384,Male,163.0,GRD0603
2018,33.2167,Male,163.0,GRD0604
2019,32.8899,Male,163.0,GRD0605
2020,33.9604,Male,163.0,GRD0606
2021,33.002,Male,163.0,GRD0607
2022,34.6891,Male,163.0,GRD0608
2023,29.0272,Male,163.0,GRD0609
2012,9.8371,Male,44.0,GRD0610
2013,9.7205,Male,44.0,GRD0611
2016,10.3109,Male,44.0,GRD0612
